05-06-2019 12:56:28 INFO [App]: Starting execution at +: 820->USSD_OPT_IN->05-Jun-2019 12:56:28

05-06-2019 12:56:40 INFO [App]: Error occured, please check with screenshot

05-06-2019 12:56:47 INFO [App]: Error occured, please check with screenshot

05-06-2019 12:56:54 INFO [App]: Error occured, please check with screenshot

05-06-2019 12:57:01 INFO [App]: Error occured, please check with screenshot

05-06-2019 12:57:08 INFO [App]: Error occured, please check with screenshot

05-06-2019 12:57:15 INFO [App]: Error occured, please check with screenshot

05-06-2019 12:57:22 INFO [App]: Error occured, please check with screenshot

05-06-2019 12:57:29 INFO [App]: Error occured, please check with screenshot

05-06-2019 12:57:36 INFO [App]: Error occured, please check with screenshot

05-06-2019 12:57:43 INFO [App]: Error occured, please check with screenshot

