26-05-2019 18:28:12 INFO [App]: Starting execution at +: Call Home for Less->USSD_OPT_IN->26-May-2019 18:28:11

26-05-2019 18:28:12 INFO [App]: ****************************************************************************************
26-05-2019 18:28:12 INFO [App]: ****************************************************************************************
26-05-2019 18:28:12 INFO [App]: $$$$$$$$$$$$$$$$$$$$$ TC_001 $$$$$$$$$$$$$$$$$$$$$$$$$
26-05-2019 18:28:12 INFO [App]: ****************************************************************************************
26-05-2019 18:28:12 INFO [App]: ****************************************************************************************
26-05-2019 18:28:27 INFO [App]: Entering code : 6

26-05-2019 18:28:38 INFO [App]: Entering code : 2

26-05-2019 18:28:49 INFO [App]: Entering code : 1

26-05-2019 18:29:03 INFO [App]: Confirmation alert : 1000 International Minutes with Friends & Family bundles starting from 69 dirhams. Dial *135*90#. Thank you for using du interactive services

26-05-2019 18:29:30 INFO [App]: Message not received for the provided USSD

26-05-2019 18:29:37 INFO [App]: XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
26-05-2019 18:29:37 INFO [App]: Starting execution at +: Call Home for Less->USSD_OPT_OUT->26-May-2019 18:28:11

26-05-2019 18:29:37 INFO [App]: ****************************************************************************************
26-05-2019 18:29:37 INFO [App]: ****************************************************************************************
26-05-2019 18:29:37 INFO [App]: $$$$$$$$$$$$$$$$$$$$$ TC_002 $$$$$$$$$$$$$$$$$$$$$$$$$
26-05-2019 18:29:37 INFO [App]: ****************************************************************************************
26-05-2019 18:29:37 INFO [App]: ****************************************************************************************
26-05-2019 18:29:59 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:30:07 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:30:15 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:30:22 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:30:31 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:30:38 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:30:47 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:30:54 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:31:01 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:31:10 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:31:18 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:31:27 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:31:36 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:31:44 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:31:54 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:32:03 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:32:11 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:32:20 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:32:28 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:32:35 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:32:44 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:32:53 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:33:00 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:33:07 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:33:15 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:33:22 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:33:32 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:33:40 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:33:49 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:33:57 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:34:04 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:34:12 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:34:19 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:34:26 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:34:33 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:34:41 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:34:48 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:34:55 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:35:02 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:35:08 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:35:16 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:35:23 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:35:30 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:35:37 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:35:44 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:35:57 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:36:05 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:36:15 INFO [App]: Error occured, please check with screenshot

26-05-2019 18:36:20 INFO [App]: Confirmation alert : USSD code running…

26-05-2019 18:36:23 INFO [App]: Entering code : 6

